guid,Payment Due,Adjusted Payment Received
125CEE37-59F5-452A-BD76-76A29A33737F,3/8/23,3/19/23
125CEE37-59F5-452A-BD76-76A29A33737F,5/8/23,5/19/23
1282C1A2-95E9-5215-DE93-3A48281665DA,11/14/22,11/18/22
1282C1A2-95E9-5215-DE93-3A48281665DA,2/14/23,2/18/23
1282C1A2-95E9-5215-DE93-3A48281665DA,1/14/23,1/19/23
1282C1A2-95E9-5215-DE93-3A48281665DA,5/14/23,5/20/23
1282C1A2-95E9-5215-DE93-3A48281665DA,6/14/23,6/20/23
1282C1A2-95E9-5215-DE93-3A48281665DA,8/14/23,8/21/23
1282C1A2-95E9-5215-DE93-3A48281665DA,4/14/23,4/22/23
1282C1A2-95E9-5215-DE93-3A48281665DA,7/14/23,7/22/23
1282C1A2-95E9-5215-DE93-3A48281665DA,12/14/22,12/24/22
1282C1A2-95E9-5215-DE93-3A48281665DA,3/14/23,3/24/23
1282C1A2-95E9-5215-DE93-3A48281665DA,9/14/23,9/24/23
1282C1A2-95E9-5215-DE93-3A48281665DA,10/14/23,10/24/23
1306AAD6-7C10-49FD-BB7B-7BA27178850A,8/14/23,8/14/23
1306AAD6-7C10-49FD-BB7B-7BA27178850A,11/14/23,11/14/23
1306AAD6-7C10-49FD-BB7B-7BA27178850A,6/14/23,6/16/23
1306AAD6-7C10-49FD-BB7B-7BA27178850A,4/14/24,4/17/24
1306AAD6-7C10-49FD-BB7B-7BA27178850A,7/14/23,7/18/23
1306AAD6-7C10-49FD-BB7B-7BA27178850A,9/14/23,9/19/23
1306AAD6-7C10-49FD-BB7B-7BA27178850A,2/14/24,2/20/24
1306AAD6-7C10-49FD-BB7B-7BA27178850A,3/14/24,3/21/24
1306AAD6-7C10-49FD-BB7B-7BA27178850A,5/14/23,5/22/23
1306AAD6-7C10-49FD-BB7B-7BA27178850A,1/14/24,1/22/24
1306AAD6-7C10-49FD-BB7B-7BA27178850A,10/14/23,10/23/23
1306AAD6-7C10-49FD-BB7B-7BA27178850A,12/14/23,12/23/23
16549E89-D10A-46D8-EB76-721E5468EDBA,3/5/23,3/7/23
16549E89-D10A-46D8-EB76-721E5468EDBA,10/5/23,10/8/23
16549E89-D10A-46D8-EB76-721E5468EDBA,1/5/24,1/8/24
16549E89-D10A-46D8-EB76-721E5468EDBA,8/5/23,8/9/23
16549E89-D10A-46D8-EB76-721E5468EDBA,4/5/23,4/10/23
16549E89-D10A-46D8-EB76-721E5468EDBA,6/5/23,6/10/23
16549E89-D10A-46D8-EB76-721E5468EDBA,11/5/23,11/10/23
16549E89-D10A-46D8-EB76-721E5468EDBA,12/5/23,12/12/23
16549E89-D10A-46D8-EB76-721E5468EDBA,2/5/24,2/14/24
16549E89-D10A-46D8-EB76-721E5468EDBA,5/5/23,5/15/23
16549E89-D10A-46D8-EB76-721E5468EDBA,9/5/23,9/15/23
16549E89-D10A-46D8-EB76-721E5468EDBA,7/5/23,7/16/23
1672261B-D844-0D68-9AC5-A842BEC2DA4B,9/20/23,9/22/23
1672261B-D844-0D68-9AC5-A842BEC2DA4B,11/20/23,11/22/23
1672261B-D844-0D68-9AC5-A842BEC2DA4B,1/20/24,1/22/24
1672261B-D844-0D68-9AC5-A842BEC2DA4B,12/20/23,12/23/23
1672261B-D844-0D68-9AC5-A842BEC2DA4B,6/20/23,6/26/23
1672261B-D844-0D68-9AC5-A842BEC2DA4B,2/20/24,2/26/24
1672261B-D844-0D68-9AC5-A842BEC2DA4B,10/20/23,10/27/23
1672261B-D844-0D68-9AC5-A842BEC2DA4B,5/20/24,5/27/24
1672261B-D844-0D68-9AC5-A842BEC2DA4B,7/20/23,7/28/23
1672261B-D844-0D68-9AC5-A842BEC2DA4B,8/20/23,8/29/23
1672261B-D844-0D68-9AC5-A842BEC2DA4B,4/20/24,4/30/24
1672261B-D844-0D68-9AC5-A842BEC2DA4B,3/20/24,3/31/24
17261CCC-A316-AE27-8E8A-D15C26D34E55,3/19/23,3/19/23
17261CCC-A316-AE27-8E8A-D15C26D34E55,12/19/23,12/19/23
17261CCC-A316-AE27-8E8A-D15C26D34E55,5/19/23,5/21/23
17261CCC-A316-AE27-8E8A-D15C26D34E55,9/19/23,9/21/23
17261CCC-A316-AE27-8E8A-D15C26D34E55,10/19/23,10/22/23
17261CCC-A316-AE27-8E8A-D15C26D34E55,11/19/23,11/22/23
17261CCC-A316-AE27-8E8A-D15C26D34E55,4/19/23,4/24/23
17261CCC-A316-AE27-8E8A-D15C26D34E55,6/19/23,6/24/23
17261CCC-A316-AE27-8E8A-D15C26D34E55,2/19/24,2/25/24
17261CCC-A316-AE27-8E8A-D15C26D34E55,7/19/23,7/27/23
17261CCC-A316-AE27-8E8A-D15C26D34E55,1/19/24,1/27/24
17261CCC-A316-AE27-8E8A-D15C26D34E55,8/19/23,8/28/23
174C96C5-473E-5CA0-398D-553DDD3BABAF,1/5/24,1/7/24
174C96C5-473E-5CA0-398D-553DDD3BABAF,5/5/24,5/8/24
174C96C5-473E-5CA0-398D-553DDD3BABAF,6/5/24,6/8/24
174C96C5-473E-5CA0-398D-553DDD3BABAF,3/5/24,3/9/24
174C96C5-473E-5CA0-398D-553DDD3BABAF,11/5/23,11/10/23
174C96C5-473E-5CA0-398D-553DDD3BABAF,12/5/23,12/10/23
174C96C5-473E-5CA0-398D-553DDD3BABAF,9/5/23,9/13/23
174C96C5-473E-5CA0-398D-553DDD3BABAF,4/5/24,4/13/24
174C96C5-473E-5CA0-398D-553DDD3BABAF,7/5/23,7/14/23
174C96C5-473E-5CA0-398D-553DDD3BABAF,2/5/24,2/14/24
174C96C5-473E-5CA0-398D-553DDD3BABAF,10/5/23,10/15/23
174C96C5-473E-5CA0-398D-553DDD3BABAF,8/5/23,8/16/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,3/6/23,3/8/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,7/6/23,7/8/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,5/6/23,5/11/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,10/6/23,10/11/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,4/6/23,4/12/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,12/6/23,12/12/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,9/6/23,9/13/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,6/6/23,6/15/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,2/6/23,2/16/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,8/6/23,8/16/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,11/6/23,11/16/23
17B63E8D-2A34-F9E3-A911-F830447EDEC8,1/6/23,1/17/23
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,8/25/23,8/25/23
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,9/25/23,9/25/23
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,10/25/23,10/25/23
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,11/25/23,11/25/23
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,12/25/23,12/25/23
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,1/25/24,1/25/24
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,2/25/24,2/25/24
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,3/25/24,3/25/24
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,4/25/24,4/25/24
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,5/25/24,5/25/24
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,6/25/24,6/25/24
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,7/25/24,7/25/24
198B834E-ABAB-68B8-57AB-89D958C48345,3/6/23,3/6/23
198B834E-ABAB-68B8-57AB-89D958C48345,4/6/23,4/6/23
198B834E-ABAB-68B8-57AB-89D958C48345,5/6/23,5/6/23
198B834E-ABAB-68B8-57AB-89D958C48345,6/6/23,6/6/23
198B834E-ABAB-68B8-57AB-89D958C48345,7/6/23,7/6/23
198B834E-ABAB-68B8-57AB-89D958C48345,8/6/23,8/6/23
198B834E-ABAB-68B8-57AB-89D958C48345,9/6/23,9/6/23
198B834E-ABAB-68B8-57AB-89D958C48345,10/6/23,10/6/23
198B834E-ABAB-68B8-57AB-89D958C48345,11/6/23,11/6/23
198B834E-ABAB-68B8-57AB-89D958C48345,12/6/23,12/6/23
198B834E-ABAB-68B8-57AB-89D958C48345,1/6/24,1/6/24
198B834E-ABAB-68B8-57AB-89D958C48345,2/6/24,2/6/24
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,8/1/24,8/1/24
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,11/1/23,11/3/23
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,1/1/24,1/3/24
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,5/1/24,5/3/24
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,9/1/23,9/4/23
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,4/1/24,4/4/24
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,2/1/24,2/5/24
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,12/1/23,12/8/23
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,3/1/24,3/8/24
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,7/1/24,7/8/24
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,10/1/23,10/9/23
1ABF53AF-F68B-1982-5A3F-D1D697712A1F,6/1/24,6/11/24
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,4/8/23,4/11/23
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,8/8/23,8/12/23
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,3/8/23,3/13/23
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,5/8/23,5/13/23
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,9/8/22,9/14/22
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,2/8/23,2/14/23
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,1/8/23,1/15/23
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,10/8/22,10/16/22
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,11/8/22,11/19/22
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,12/8/22,12/19/22
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,6/8/23,6/19/23
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,7/8/23,7/19/23
1B74F82F-EBA3-C4C7-BA87-768D32395923,5/14/23,5/14/23
1B74F82F-EBA3-C4C7-BA87-768D32395923,6/14/23,6/14/23
1B74F82F-EBA3-C4C7-BA87-768D32395923,7/14/23,7/14/23
1B74F82F-EBA3-C4C7-BA87-768D32395923,8/14/23,8/14/23
1B74F82F-EBA3-C4C7-BA87-768D32395923,9/14/23,9/14/23
1B74F82F-EBA3-C4C7-BA87-768D32395923,10/14/23,10/14/23
1B74F82F-EBA3-C4C7-BA87-768D32395923,11/14/23,11/14/23
1B74F82F-EBA3-C4C7-BA87-768D32395923,12/14/23,12/14/23
1B74F82F-EBA3-C4C7-BA87-768D32395923,1/14/24,1/14/24
1B74F82F-EBA3-C4C7-BA87-768D32395923,2/14/24,2/14/24
1B74F82F-EBA3-C4C7-BA87-768D32395923,3/14/24,3/14/24
1B74F82F-EBA3-C4C7-BA87-768D32395923,4/14/24,4/14/24
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,2/17/23,2/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,3/17/23,3/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,4/17/23,4/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,5/17/23,5/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,6/17/23,6/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,7/17/23,7/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,8/17/23,8/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,9/17/23,9/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,10/17/23,10/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,11/17/23,11/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,12/17/23,12/17/23
1B7A4BB4-E1E0-D84B-9B84-CBC396EDB93A,1/17/24,1/17/24
1D937CCB-2943-4385-8CA5-BA91C37EA414,5/23/23,5/25/23
1D937CCB-2943-4385-8CA5-BA91C37EA414,3/23/23,3/26/23
1D937CCB-2943-4385-8CA5-BA91C37EA414,4/23/23,4/26/23
1D937CCB-2943-4385-8CA5-BA91C37EA414,9/23/23,9/26/23
1D937CCB-2943-4385-8CA5-BA91C37EA414,12/23/22,12/27/22
1D937CCB-2943-4385-8CA5-BA91C37EA414,1/23/23,1/27/23
1D937CCB-2943-4385-8CA5-BA91C37EA414,2/23/23,2/28/23
1D937CCB-2943-4385-8CA5-BA91C37EA414,7/23/23,7/28/23
1D937CCB-2943-4385-8CA5-BA91C37EA414,11/23/22,11/29/22
1D937CCB-2943-4385-8CA5-BA91C37EA414,6/23/23,6/29/23
1D937CCB-2943-4385-8CA5-BA91C37EA414,10/23/22,10/31/22
1D937CCB-2943-4385-8CA5-BA91C37EA414,8/23/23,9/3/23
1D99D829-239C-6C2E-EC56-A498EBD0D11A,9/15/22,9/15/22
1D99D829-239C-6C2E-EC56-A498EBD0D11A,10/15/22,10/15/22
1D99D829-239C-6C2E-EC56-A498EBD0D11A,11/15/22,11/15/22
1D99D829-239C-6C2E-EC56-A498EBD0D11A,12/15/22,12/15/22
1D99D829-239C-6C2E-EC56-A498EBD0D11A,1/15/23,1/15/23
1D99D829-239C-6C2E-EC56-A498EBD0D11A,2/15/23,2/15/23
1D99D829-239C-6C2E-EC56-A498EBD0D11A,3/15/23,3/15/23
1D99D829-239C-6C2E-EC56-A498EBD0D11A,4/15/23,4/15/23
1D99D829-239C-6C2E-EC56-A498EBD0D11A,5/15/23,5/15/23
1D99D829-239C-6C2E-EC56-A498EBD0D11A,6/15/23,6/15/23
1D99D829-239C-6C2E-EC56-A498EBD0D11A,7/15/23,7/15/23
1D99D829-239C-6C2E-EC56-A498EBD0D11A,8/15/23,8/15/23
1DB2B63E-7B42-B75E-1170-82C6BA82F626,11/5/23,11/7/23
1DB2B63E-7B42-B75E-1170-82C6BA82F626,10/5/23,10/8/23
1DB2B63E-7B42-B75E-1170-82C6BA82F626,4/5/24,4/9/24
1DB2B63E-7B42-B75E-1170-82C6BA82F626,7/5/24,7/9/24
1DB2B63E-7B42-B75E-1170-82C6BA82F626,3/5/24,3/11/24
1DB2B63E-7B42-B75E-1170-82C6BA82F626,6/5/24,6/12/24
1DB2B63E-7B42-B75E-1170-82C6BA82F626,12/5/23,12/13/23
1DB2B63E-7B42-B75E-1170-82C6BA82F626,1/5/24,1/13/24
1DB2B63E-7B42-B75E-1170-82C6BA82F626,9/5/23,9/14/23
1DB2B63E-7B42-B75E-1170-82C6BA82F626,2/5/24,2/14/24
1DB2B63E-7B42-B75E-1170-82C6BA82F626,5/5/24,5/14/24
1DB2B63E-7B42-B75E-1170-82C6BA82F626,8/5/23,8/15/23
1F328A08-30F1-E9E1-11B3-8888E35F69BC,4/5/23,4/7/23
1F328A08-30F1-E9E1-11B3-8888E35F69BC,1/5/23,1/8/23
1F328A08-30F1-E9E1-11B3-8888E35F69BC,3/5/23,3/9/23
1F328A08-30F1-E9E1-11B3-8888E35F69BC,6/5/23,6/9/23
1F328A08-30F1-E9E1-11B3-8888E35F69BC,12/5/22,12/10/22
1F328A08-30F1-E9E1-11B3-8888E35F69BC,10/5/22,10/13/22
1F328A08-30F1-E9E1-11B3-8888E35F69BC,8/5/23,8/13/23
1F328A08-30F1-E9E1-11B3-8888E35F69BC,11/5/22,11/14/22
1F328A08-30F1-E9E1-11B3-8888E35F69BC,5/5/23,5/14/23
1F328A08-30F1-E9E1-11B3-8888E35F69BC,2/5/23,2/16/23
1F328A08-30F1-E9E1-11B3-8888E35F69BC,7/5/23,7/16/23
1F328A08-30F1-E9E1-11B3-8888E35F69BC,9/5/23,9/16/23
215A58FB-4576-BC02-311C-4031A043314F,3/11/23,3/11/23
215A58FB-4576-BC02-311C-4031A043314F,4/11/23,4/11/23
215A58FB-4576-BC02-311C-4031A043314F,5/11/23,5/11/23
215A58FB-4576-BC02-311C-4031A043314F,6/11/23,6/11/23
215A58FB-4576-BC02-311C-4031A043314F,7/11/23,7/11/23
215A58FB-4576-BC02-311C-4031A043314F,8/11/23,8/11/23
215A58FB-4576-BC02-311C-4031A043314F,9/11/23,9/11/23
215A58FB-4576-BC02-311C-4031A043314F,10/11/23,10/11/23
215A58FB-4576-BC02-311C-4031A043314F,11/11/23,11/11/23
215A58FB-4576-BC02-311C-4031A043314F,12/11/23,12/11/23
215A58FB-4576-BC02-311C-4031A043314F,1/11/24,1/11/24
215A58FB-4576-BC02-311C-4031A043314F,2/11/24,2/11/24
220699A4-E491-6E99-1F43-48F5A3631AE5,9/13/23,9/13/23
220699A4-E491-6E99-1F43-48F5A3631AE5,11/13/23,11/13/23
220699A4-E491-6E99-1F43-48F5A3631AE5,1/13/24,1/13/24
220699A4-E491-6E99-1F43-48F5A3631AE5,2/13/24,2/13/24
220699A4-E491-6E99-1F43-48F5A3631AE5,3/13/24,3/15/24
220699A4-E491-6E99-1F43-48F5A3631AE5,4/13/24,4/15/24
220699A4-E491-6E99-1F43-48F5A3631AE5,8/13/23,8/16/23
220699A4-E491-6E99-1F43-48F5A3631AE5,10/13/23,10/18/23
220699A4-E491-6E99-1F43-48F5A3631AE5,7/13/24,7/18/24
220699A4-E491-6E99-1F43-48F5A3631AE5,5/13/24,5/19/24
220699A4-E491-6E99-1F43-48F5A3631AE5,6/13/24,6/20/24
220699A4-E491-6E99-1F43-48F5A3631AE5,12/13/23,12/21/23
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,9/1/23,9/1/23
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,6/1/24,6/1/24
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,7/1/24,7/1/24
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,10/1/23,10/3/23
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,1/1/24,1/3/24
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,8/1/23,8/5/23
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,2/1/24,2/6/24
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,5/1/24,5/9/24
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,11/1/23,11/10/23
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,3/1/24,3/10/24
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,4/1/24,4/10/24
22923DC8-2DA1-3DF8-A013-4D7C426C1D2C,12/1/23,12/11/23
2416D9B6-A2D9-D7F8-891D-62A387E71B99,9/27/22,9/27/22
2416D9B6-A2D9-D7F8-891D-62A387E71B99,10/27/22,10/27/22
2416D9B6-A2D9-D7F8-891D-62A387E71B99,11/27/22,11/27/22
2416D9B6-A2D9-D7F8-891D-62A387E71B99,12/27/22,12/27/22
2416D9B6-A2D9-D7F8-891D-62A387E71B99,1/27/23,1/27/23
